name,symbol,sector,exchange,country
Nagreeka Exports Ltd.,NAGREEKEXP,Textiles,NSE,India
Nahar Capital & Financial Services Ltd.,NAHARCAP,Finance & Investments,NSE,India
Nahar Industrial Enterprises Ltd.,NAHARINDUS,Textiles,NSE,India
Nahar Poly Films Ltd.,NAHARPOLY,Textiles,NSE,India
Nahar Spinning Mills Ltd.,NAHARSPING,Textiles,NSE,India
Nakoda Group Of Industries Ltd.,NGIL,Food Products,NSE,India
Nalwa Sons Investments Ltd.,NSIL,Finance & Investments,NSE,India
Nandan Denim Ltd.,NDL,Textiles,NSE,India
Nandani Creation Ltd.,JAIPURKURT,Apparels,NSE,India
Narayana Hrudayalaya Ltd.,NH,Hospitals & Diagnostic Centres,NSE,India
Narmada Agrobase Ltd.,NARMADA,Food Products,NSE,India
Natco Pharma Ltd.,NATCOPHARM,Pharmaceuticals,NSE,India
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,Agro Products,NSE,India
National Aluminium Company Ltd.,NATIONALUM,Non Ferrous Metals,NSE,India
National Fertilizers Ltd.,NFL,Agro Chemicals & Fertilizers,NSE,India
National Steel and Agro Industries Ltd.,NATNLSTEEL,Iron & Steel,NSE,India
Navin Fluorine International Ltd.,NAVINFLUOR,Commodity Chemicals,NSE,India
Navkar Corporation Ltd.,NAVKARCORP,Logistics,NSE,India
Navneet Education Ltd.,NAVNETEDUL,Publishing,NSE,India
Nazara Technologies Ltd.,NAZARA,It Services & Consulting,NSE,India
Nectar Lifesciences Ltd.,NECLIFE,Pharmaceuticals,NSE,India
Nelcast Ltd.,NELCAST,"Industrial Machinery, Equipment & Goods",NSE,India
Nelco Ltd.,NELCO,Telecomm Equipment & Infra Services,NSE,India
Neogen Chemicals Ltd.,NEOGEN,Speciality Chemicals,NSE,India
Nesco Ltd.,NESCO,Real Estate,NSE,India
Nestle India Ltd.,NESTLEIND,Food Products,NSE,India
Netweb Technologies India Ltd.,NETWEB,It Services & Consulting,NSE,India
Network18 Media & Investments Ltd.,NETWORK18,Broadcasting & Entertainment,NSE,India
Neueon Towers Ltd.,NTL,Power - Construction/equipment,NSE,India
Neuland Laboratories Ltd.,NEULANDLAB,Pharmaceuticals,NSE,India
New Delhi Television Ltd.,NDTV,Broadcasting & Entertainment,NSE,India
Newgen Software Technologies Ltd.,NEWGEN,Software Services,NSE,India
Next Mediaworks Ltd.,NEXTMEDIA,Broadcasting & Entertainment,NSE,India
Nila Infrastructures Ltd.,NILAINFRA,Real Estate,NSE,India
Nila Spaces Ltd.,NILASPACES,Real Estate,NSE,India
Nilkamal Ltd.,NILKAMAL,Home Furnishing,NSE,India
Nintec Systems Ltd.,NINSYS,It Services & Consulting,NSE,India
Nippon Life India Asset Management Ltd.,NAM-INDIA,Asset Management,NSE,India
Niraj Cement Structurals Ltd.,NIRAJ,Construction & Engineering,NSE,India
Nitco Ltd.,NITCO,Construction Supplies & Fixtures,NSE,India
Nitin Fire Protection Industries Ltd.,NITINFIRE,Business Support Services,NSE,India
Nitin Spinners Ltd.,NITINSPIN,Textiles,NSE,India
Nitiraj Engineers Ltd.,NITIRAJ,Electronics - Equipment/components,NSE,India
Noida Toll Bridge Company Ltd.,NOIDATOLL,Construction & Engineering,NSE,India
Norben Tea & Exports Ltd.,NORBTEAEXP,Tea & Coffee,NSE,India
North Eastern Carrying Corporation Ltd.,NECCLTD,Logistics,NSE,India
Novartis India Ltd.,NOVARTIND,Pharmaceuticals,NSE,India
Nucleus Software Exports Ltd.,NUCLEUS,Software Services,NSE,India
Nupur Recyclers Ltd.,NRL,Trading & Distribution,NSE,India
Nureca Ltd.,NURECA,Health Services And Equipment,NSE,India
Nuvama Wealth Management Ltd.,NUVAMA,Finance & Investments,NSE,India
Nuvoco Vistas Corporation Ltd.,NUVOCO,Cement,NSE,India
Oberoi Realty Ltd.,OBEROIRLTY,Real Estate,NSE,India
Oil And Natural Gas Corporation Ltd.,ONGC,Oil & Gas Exploration And Production,NSE,India
